City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Grieskirchen,48.2333,13.8333,11.95,94,100,4.11,AT,1620926544
Nísia Floresta,-6.0911,-35.2086,26.99,96,100,2.91,BR,1620926545
Castro,-24.7911,-50.0119,16.49,64,85,2.8,BR,1620926545
Sorong,-0.8833,131.25,26.97,84,100,3.71,ID,1620926412
Wonthaggi,-38.6044,145.5913,10.95,78,75,8.73,AU,1620926545
Rawson,-43.3002,-65.1023,17.38,37,100,5.68,AR,1620926545
Puerto Baquerizo Moreno,-0.9,-89.6,26.82,78,75,6.17,EC,1620926546
Clonakilty,51.6231,-8.8706,15.89,74,71,5.13,IE,1620926546
Umm Kaddadah,13.6017,26.6876,32.13,32,82,6.47,SD,1620926458
Itaqui,-29.1253,-56.5531,20.1,36,39,2.9,BR,1620926418
Avarua,-21.2078,-159.775,22.06,100,40,2.06,CK,1620926321
La Ronge,55.1001,-105.2842,15.74,53,75,2.57,CA,1620926547
Hobart,-42.8794,147.3294,7.37,81,75,1.34,AU,1620926519
Kaitangata,-46.2817,169.8464,2.18,80,4,2.08,NZ,1620926547
Mar del Plata,-38.0023,-57.5575,20.0,51,0,2.24,AR,1620926432
Niamey,13.5137,2.1098,45.47,12,20,2.57,NE,1620926296
Cap Malheureux,-19.9842,57.6142,26.17,77,16,0.89,MU,1620926547
Samarai,-10.6167,150.6667,27.46,81,17,3.46,PG,1620926548
Tarauacá,-8.1614,-70.7656,24.86,96,89,1.92,BR,1620926548
Katherine,-14.4667,132.2667,19.18,42,0,2.76,AU,1620926406
Gävle,60.6745,17.1417,21.64,51,53,2.91,SE,1620926548
George Town,5.4112,100.3354,28.27,87,20,1.54,MY,1620926549
Naze,28.3667,129.4833,22.04,92,87,3.91,JP,1620926284
Tuatapere,-46.1333,167.6833,2.12,90,61,3.06,NZ,1620926549
Lagoa,39.05,-27.9833,17.53,90,64,7.63,PT,1620926549
Hilo,19.7297,-155.09,25.16,84,90,1.54,US,1620926550
Salalah,17.0151,54.0924,29.38,84,75,3.09,OM,1620926550
Dingle,10.9995,122.6711,26.33,82,54,3.35,PH,1620926550
Vyshestebliyevskaya,45.1961,37.0181,20.24,77,29,4.29,RU,1620926551
Dolores,-36.3132,-57.6792,17.01,48,77,4.29,AR,1620926551
Uyar,55.81,94.3153,5.65,51,9,1.86,RU,1620926551
Provideniya,64.3833,-173.3,1.24,96,100,4.17,RU,1620926551
Kiunga,-6.1219,141.2906,23.47,100,98,0.77,PG,1620926552
Yellowknife,62.456,-114.3525,7.34,77,75,3.13,CA,1620926389
El Dorado,38.7666,-120.5177,35.73,24,1,0.89,US,1620926552
Nelson Bay,-32.7167,152.15,16.53,91,1,7.21,AU,1620926552
Asău,46.4333,26.4,17.29,67,72,1.12,RO,1620926553
Dunedin,-45.8742,170.5036,8.22,66,0,4.92,NZ,1620926433
Ushuaia,-54.8,-68.3,8.34,57,20,3.09,AR,1620926489
Safi,32.2994,-9.2372,20.94,60,100,12.33,MA,1620926553
Korla,41.7597,86.1469,14.36,55,100,1.97,CN,1620926554
Gondā City,27.1333,81.9333,28.34,51,1,3.25,IN,1620926554
Port Hardy,50.6996,-127.4199,11.46,82,90,2.06,CA,1620926554
San Patricio,28.017,-97.5169,25.64,64,6,5.59,US,1620926555
Rocha,-34.4833,-54.3333,17.73,48,82,4.69,UY,1620926555
San Miguel de Tucumán,-26.8241,-65.2226,26.78,57,100,1.39,AR,1620926413
São Filipe,14.8961,-24.4956,25.19,70,0,2.16,CV,1620926484
Longyearbyen,78.2186,15.6401,-2.69,63,75,4.63,SJ,1620926497
Trelew,-43.249,-65.3051,18.16,27,100,6.42,AR,1620926555
Necochea,-38.5473,-58.7368,20.02,48,80,1.76,AR,1620926556
Ancud,-41.8697,-73.8203,13.46,80,74,0.98,CL,1620926556
Atuona,-9.8,-139.0333,26.53,80,27,9.63,PF,1620926320
Puerto Ayora,-0.7393,-90.3518,28.99,87,67,2.68,EC,1620926556
Hermanus,-34.4187,19.2345,17.17,86,1,3.35,ZA,1620926557
Point Pedro,9.8167,80.2333,28.47,82,99,5.53,LK,1620926557
Isangel,-19.55,169.2667,24.51,86,100,3.82,VU,1620926557
Harper,4.375,-7.7169,28.68,65,14,3.99,LR,1620926558
Srednekolymsk,67.45,153.6833,-3.63,97,100,4.4,RU,1620926558
Diamantino,-14.4086,-56.4461,29.62,45,13,1.95,BR,1620926558
Ilhabela,-23.7781,-45.3581,21.12,72,81,0.65,BR,1620926559
Adeje,28.1227,-16.726,27.71,71,40,3.13,ES,1620926559
Aktau,43.65,51.2,21.67,41,5,3.16,KZ,1620926559
Narsaq,60.9167,-46.05,12.56,40,98,3.45,GL,1620926560
Thompson,55.7435,-97.8558,12.41,53,20,4.12,CA,1620926560
Arraial do Cabo,-22.9661,-42.0278,22.04,83,75,2.06,BR,1620926560
Tiksi,71.6872,128.8694,-6.03,93,100,3.05,RU,1620926560
New Ulm,44.3125,-94.4605,26.36,22,1,5.14,US,1620926561
Port Alfred,-33.5906,26.891,17.08,81,0,2.94,ZA,1620926561
Broome,42.2506,-75.833,18.16,36,29,1.34,US,1620926561
Acarí,-15.4311,-74.6158,26.9,49,33,3.95,PE,1620926562
Cap-Chat,49.1001,-66.6821,10.03,71,83,7.72,CA,1620926492
Mirny,62.5353,113.9611,3.53,58,48,2.3,RU,1620926562
Norman Wells,65.282,-126.8329,3.14,64,75,7.72,CA,1620926562
Sola,-13.8833,167.55,27.36,72,99,3.16,VU,1620926563
Te Anau,-45.4167,167.7167,5.01,91,69,1.31,NZ,1620926563
Agirish,61.9247,63.0231,14.47,56,11,2.57,RU,1620926563
Cape Town,-33.9258,18.4232,17.97,77,15,1.39,ZA,1620925859
Puerto Berrío,6.4916,-74.4033,33.67,50,40,1.51,CO,1620926564
Vardø,70.3705,31.1107,3.23,80,100,9.43,NO,1620926564
Zhuanghe,39.7008,122.9911,13.61,90,5,0.95,CN,1620926564
Plettenberg Bay,-34.0527,23.3716,14.93,85,1,1.07,ZA,1620926565
Codrington,-38.2667,141.9667,11.25,68,79,10.14,AU,1620926488
Vicuña,-30.0319,-70.7081,17.04,19,49,2.38,CL,1620926565
Shelopugino,51.6514,117.5599,2.04,72,53,2.55,RU,1620926565
Qaanaaq,77.484,-69.3632,-0.24,78,100,3.3,GL,1620926566
Hambantota,6.1241,81.1185,27.4,84,100,6.79,LK,1620926566
Caravelas,-17.7125,-39.2481,26.63,62,40,4.03,BR,1620926566
Overath,50.9328,7.2839,17.28,92,20,4.42,DE,1620926566
Lázaro Cárdenas,17.9583,-102.2,31.24,47,64,0.59,MX,1620926567
Santa Cruz,30.4202,-9.5982,29.45,46,100,2.62,MA,1620926354
Kidal,18.4411,1.4078,42.85,5,78,1.46,ML,1620926567
Hithadhoo,-0.6,73.0833,28.08,75,100,4.79,MV,1620926568
Almaznyy,48.0448,40.045,20.39,82,100,2.2,RU,1620926568
Ormara,25.2088,64.6357,28.2,83,0,7.02,PK,1620926568
Mataura,-46.1927,168.8643,1.93,88,24,1.56,NZ,1620926569
Stara Vyzhivka,51.4376,24.44,12.14,88,100,3.54,UA,1620926569
Bambous Virieux,-20.3428,57.7575,26.04,73,20,5.75,MU,1620926569
Jamestown,42.097,-79.2353,25.34,31,40,3.6,US,1620926421
Boguchany,58.3814,97.4531,5.02,54,8,2.23,RU,1620926570
Ponta do Sol,32.6667,-17.1,22.62,64,12,1.55,PT,1620926488
Iqaluit,63.7506,-68.5145,-0.59,86,90,4.47,CA,1620926570
General Roca,-39.0333,-67.5833,21.28,37,96,2.42,AR,1620926570
Chokurdakh,70.6333,147.9167,-19.74,100,74,0.81,RU,1620926415
Baharly,38.4362,57.4316,28.04,21,97,4.21,TM,1620926571
Saint George,37.1041,-113.5841,36.75,15,1,1.34,US,1620926571
kimparana,12.8347,-4.9244,42.44,9,0,3.6,ML,1620926571
Talnakh,69.4865,88.3972,-4.18,94,100,4.36,RU,1620926572
Carnarvon,-24.8667,113.6333,21.08,68,19,4.63,AU,1620926572
Koslan,63.4564,48.8989,19.76,51,10,2.42,RU,1620926572
Kieta,-6.2167,155.6333,25.65,86,15,0.28,PG,1620926573
East London,-33.0153,27.9116,17.52,82,0,4.63,ZA,1620926573
Acapulco de Juárez,16.8634,-99.8901,31.98,55,40,1.71,MX,1620926360
Clyde River,70.4692,-68.5914,-2.44,86,75,6.69,CA,1620926573
Faanui,-16.4833,-151.75,28.09,77,100,8.39,PF,1620926574
Ahipara,-35.1667,173.1667,11.27,80,100,3.19,NZ,1620926574
Nikolskoye,59.7035,30.7861,21.3,55,13,0.97,RU,1620926574
Saint Paul Harbor,57.79,-152.4072,7.1,76,75,3.6,US,1620926575
Luwuk,-0.9516,122.7875,25.71,80,85,1.93,ID,1620926575
Pareora,-44.4871,171.2132,1.77,81,0,3.17,NZ,1620926575
Touros,-5.1989,-35.4608,26.48,97,100,4.91,BR,1620926486
Polyarny,69.1989,33.4478,5.49,96,100,6.79,RU,1620926576
Ribeira Grande,38.5167,-28.7,19.77,94,75,5.14,PT,1620926576
Mahébourg,-20.4081,57.7,26.06,73,20,4.63,MU,1620926413
Huarmey,-10.0681,-78.1522,22.32,70,5,4.77,PE,1620926576
Butaritari,3.0707,172.7902,27.61,80,72,6.37,KI,1620926577
Kumul,42.8,93.45,12.82,59,42,1.38,CN,1620926577
Tanout,14.9709,8.8879,40.09,7,28,5.62,NE,1620926577
Bengkulu,-3.8004,102.2655,25.32,91,100,1.7,ID,1620926578
Camaná,-16.6228,-72.7111,21.98,69,6,3.86,PE,1620926579
Stornoway,58.2093,-6.3865,10.52,81,40,7.2,GB,1620926579
Yumen,40.2833,97.2,10.73,61,100,4.13,CN,1620926579
Nador,35.174,-2.9287,28.61,43,0,4.97,MA,1620926580
Phillaur,31.0292,75.7842,24.08,60,100,2.07,IN,1620926580
Portland,45.5234,-122.6762,20.2,68,75,0.89,US,1620926561
Haimen,23.1935,116.6142,27.9,88,94,2.61,CN,1620926580
Cidreira,-30.1811,-50.2056,18.53,43,0,1.14,BR,1620926581
Lüderitz,-26.6481,15.1594,18.68,59,0,3.5,NA,1620926581
Huilong,31.8111,121.655,20.58,95,100,5.51,CN,1620926581
Dikson,73.5069,80.5464,-5.24,86,100,3.07,RU,1620926429
Oranienburg,52.75,13.2333,13.45,99,100,0.45,DE,1620926582
Ugoofaaru,5.6667,73.0,29.36,76,100,11.5,MV,1620926475
Khatanga,71.9667,102.5,-5.92,97,100,1.36,RU,1620926582
Tombouctou,20.0,-3.0,42.05,5,2,3.79,ML,1620926582
Kiryat Gat,31.61,34.7642,22.67,69,0,3.64,IL,1620926583
Biak,-0.9131,122.8766,25.23,80,85,2.44,ID,1620926583
Pec,42.6591,20.2883,23.26,85,100,2.34,XK,1620926584
Kahului,20.8947,-156.47,29.49,79,40,4.12,US,1620926508
Bluff,-46.6,168.3333,2.11,79,41,4.28,NZ,1620926422
Souillac,-20.5167,57.5167,26.12,77,20,5.33,MU,1620926584
Meiktila,20.8667,95.8667,31.55,43,44,2.48,MM,1620926584
Rafaela,-31.2503,-61.4867,18.89,34,97,0.45,AR,1620926585
New Norfolk,-42.7826,147.0587,7.73,78,26,1.34,AU,1620926585
Faya,18.3851,42.4509,21.68,41,39,2.62,SA,1620926585
Sitka,57.0531,-135.33,8.08,71,90,3.09,US,1620926494
Severo-Kuril'sk,50.6789,156.125,1.9,77,63,4.8,RU,1620926586
Fort Nelson,58.8053,-122.7002,14.46,66,90,2.06,CA,1620926586
Yanam,16.7333,82.2167,28.66,83,86,1.67,IN,1620926586
Bereda,43.2686,-7.5406,15.79,75,84,2.61,ES,1620926587
Hamilton,39.1834,-84.5333,19.99,33,1,1.79,US,1620926330
Chunoyar,57.4467,97.3217,4.29,53,1,1.63,RU,1620926587
Lavras,-21.2453,-44.9997,22.16,52,87,2.54,BR,1620926587
Wajima,37.4,136.9,15.36,72,41,1.74,JP,1620926588
Cabo San Lucas,22.8909,-109.9124,37.33,48,1,2.57,MX,1620926300
Kavaratti,10.5669,72.642,28.49,79,100,5.47,IN,1620926588
Yulara,-25.2406,130.9889,22.26,44,0,4.63,AU,1620926588
Selkirk,50.1436,-96.8845,24.65,37,72,6.26,CA,1620926589
Pisco,-13.7,-76.2167,19.45,82,40,3.09,PE,1620926589
Tārāpur,19.85,72.7,28.78,66,81,3.15,IN,1620926589
Panlaitan,12.1191,119.8486,29.29,73,32,4.72,PH,1620926590
Tibiri,13.5627,7.0485,45.8,11,20,3.25,NE,1620926590
Aklavik,68.2191,-135.0107,-2.59,68,75,1.03,CA,1620926590
Domoni,-12.2569,44.5319,26.52,78,68,5.99,KM,1620926591
Penzance,50.1186,-5.5371,14.6,87,40,8.75,GB,1620926591
Nanortalik,60.1432,-45.2371,7.34,51,87,2.83,GL,1620926591
Bethel,41.3712,-73.414,20.87,29,40,0.89,US,1620926404
Muli,2.9167,73.5667,28.18,79,99,6.05,MV,1620926592
Mahabalipuram,12.6264,80.1722,30.59,81,96,6.85,IN,1620926592
Esil,51.9556,66.4042,19.41,43,43,2.78,KZ,1620926592
Pevek,69.7008,170.3133,-1.69,98,100,3.53,RU,1620926592
Itarema,-2.9248,-39.9167,27.52,77,100,2.58,BR,1620926593
Roald,62.5833,6.1333,12.84,87,75,8.75,NO,1620926593
Pedernales,18.0384,-71.744,31.12,56,3,2.82,DO,1620926593
Ossora,59.2353,163.0719,-4.31,84,14,2.08,RU,1620926594
Goderich,43.7501,-81.7165,18.35,61,6,4.12,CA,1620926594
Darhan,49.4867,105.9228,4.22,33,82,3.99,MN,1620926594
Meadow Lake,34.8014,-106.5436,22.69,31,0,4.63,US,1620926595
Porto-Novo,6.4965,2.6036,29.0,68,24,4.53,BJ,1620926460
Linhares,-19.3911,-40.0722,27.25,55,32,4.65,BR,1620926595
Walvis Bay,-22.9575,14.5053,29.91,37,0,4.12,NA,1620926595
Khandagayty,50.7333,92.05,9.42,30,100,1.82,RU,1620926596
Beringovskiy,63.05,179.3167,-0.3,99,100,2.52,RU,1620926596
Balabac,7.9868,117.0645,28.49,80,100,5.87,PH,1620926596
Katsuura,35.1333,140.3,18.23,94,100,7.91,JP,1620926446
Tenkodogo,11.78,-0.3697,39.55,21,26,1.58,BF,1620926597
Forsytheganj,52.6333,29.7333,10.94,87,100,4.93,BY,1620926597
Richards Bay,-28.783,32.0377,21.81,81,0,4.28,ZA,1620926445
Sibolga,1.7427,98.7792,24.82,91,100,2.53,ID,1620926468
Berdigestyakh,62.0989,126.6992,0.55,68,2,1.2,RU,1620926597
Bambanglipuro,-7.95,110.2833,25.22,86,100,2.58,ID,1620926598
Ostrovnoy,68.0531,39.5131,6.4,88,90,4.5,RU,1620926598
Bam,29.106,58.357,27.9,19,48,4.59,IR,1620926598
Klaksvík,62.2266,-6.589,8.66,79,100,9.85,FO,1620926599
Chingirlau,51.095,54.0814,20.11,39,1,4.06,KZ,1620926599
Cuamba,-14.8031,36.5372,21.06,60,99,1.17,MZ,1620926599
Ilula,-7.6766,36.0366,14.26,96,85,2.45,TZ,1620926600
Gamba,-2.65,10.0,27.04,82,77,2.88,GA,1620926600
Marsabit,2.3284,37.9899,20.38,65,98,3.85,KE,1620926600
Anadyr,64.75,177.4833,2.26,98,40,5.81,RU,1620926601
Hong Kong,22.2855,114.1577,29.62,84,85,0.45,HK,1620926601
Banda Aceh,5.5577,95.3222,27.55,81,100,0.43,ID,1620926601
Bojnourd,37.4747,57.329,35.77,26,0,3.09,IR,1620926602
Comodoro Rivadavia,-45.8667,-67.5,16.88,44,0,5.14,AR,1620926602
Bhānvad,21.9264,69.7736,29.79,71,87,5.63,IN,1620926602
Khovd,48.0056,91.6419,6.99,64,87,3.42,MN,1620926603
Benguela,-12.5763,13.4055,26.66,76,12,1.36,AO,1620926603
Ninghai,29.2892,121.4247,24.96,100,100,1.42,CN,1620926603
Turukhansk,65.8167,87.9833,1.61,99,100,2.52,RU,1620926603
Cape Canaveral,28.4058,-80.6048,26.7,73,75,6.69,US,1620926391
Punta Gorda,26.9298,-82.0454,30.55,61,1,1.79,US,1620926451
Les Cayes,18.2,-73.75,29.0,69,73,5.2,HT,1620926604
Semey,50.4111,80.2275,10.58,71,35,3.06,KZ,1620926604
Horsham,51.064,-0.3272,14.4,83,75,5.22,GB,1620926605
Kaoma,-14.7833,24.8,17.95,48,1,1.8,ZM,1620926605
Bitung,1.4451,125.1824,26.64,85,99,3.45,ID,1620926605
Chongwe,-15.3292,28.682,15.83,60,17,1.92,ZM,1620926605
Nyanguge,-2.55,33.2,21.58,72,31,1.39,TZ,1620926606
Kruisfontein,-34.0033,24.7314,13.27,88,2,2.44,ZA,1620926606
Uelzen,52.9667,10.5667,15.57,98,100,2.51,DE,1620926606
Airai,-8.9266,125.4092,14.62,92,63,1.65,TL,1620926607
Vredendal,-31.6683,18.5012,20.1,42,0,2.0,ZA,1620926607
Kampong Thom,12.7111,104.8887,28.85,71,95,1.52,KH,1620926607
Tasiilaq,65.6145,-37.6368,1.51,77,34,3.48,GL,1620926608
Leningradskiy,69.3833,178.4167,-3.5,90,100,1.71,RU,1620926608
Porbandar,21.6422,69.6093,30.1,74,40,4.12,IN,1620926608
Grande Prairie,55.1667,-118.8027,25.03,44,40,2.06,CA,1620926609
Fougamou,-1.2154,10.5838,24.82,93,97,1.35,GA,1620926609
Torbay,47.6666,-52.7314,10.52,63,90,9.26,CA,1620926491
Wellington,-41.2866,174.7756,5.31,93,0,1.54,NZ,1620926481
Baghdad,33.3406,44.4009,34.45,10,0,4.43,IQ,1620926341
Dongsheng,39.8161,109.9776,18.91,57,9,10.15,CN,1620926610
Nicoya,10.1483,-85.452,30.97,48,98,2.72,CR,1620926610
Port Augusta,-32.5,137.7667,12.62,57,62,5.45,AU,1620926610
Amahai,-3.3333,128.9167,26.28,88,38,1.17,ID,1620926610
Gonbad-e Kāvūs,37.25,55.1672,22.51,52,100,3.3,IR,1620926611
San Cristobal,7.7669,-72.225,35.2,37,77,4.12,VE,1620926611
Lahat,-3.8,103.5333,23.29,97,100,0.73,ID,1620926611
Husavik,66.0449,-17.3389,6.99,52,100,2.63,IS,1620926612
Manuk Mangkaw,4.8,119.85,29.22,76,92,3.24,PH,1620926612
Iskateley,67.6803,53.1512,15.33,65,100,4.37,RU,1620926612
Aki,33.5,133.9,18.7,92,98,1.66,JP,1620926613
Bentiu,9.2333,29.8333,28.51,60,84,2.52,SS,1620926613
Krasnyy Chikoy,50.3643,108.7512,-1.13,65,54,1.49,RU,1620926613
Muriwai Beach,-36.8167,174.45,8.26,82,72,1.93,NZ,1620926613
La Santisima Trinidad,-14.8333,-64.9,26.51,53,41,1.22,BO,1620926614
Chimbote,-9.0853,-78.5783,22.18,70,10,4.19,PE,1620926614
Fort Morgan,40.2503,-103.8,41.04,42,1,1.54,US,1620926614
Ucluelet,48.9329,-125.5528,17.75,93,59,1.34,CA,1620926615
Pokhvistnevo,53.6524,52.1274,19.56,59,6,3.45,RU,1620926615
Gdov,58.7406,27.8122,12.76,67,59,1.46,RU,1620926615
Bandarbeyla,9.4942,50.8122,29.85,75,74,12.77,SO,1620926616
Sulangan,11.1373,123.7228,28.26,79,24,6.28,PH,1620926616
São João da Barra,-21.6403,-41.0511,23.33,68,73,7.37,BR,1620926616
Ilulissat,69.2167,-51.1,2.4,51,40,2.57,GL,1620926617
Gisborne,-38.6533,178.0042,8.3,85,65,5.06,NZ,1620926617
Talara,-4.5772,-81.2719,27.71,65,0,6.17,PE,1620926617
Adrar,20.5022,-10.0711,37.23,7,1,9.11,MR,1620926618
Barrow,71.2906,-156.7887,-9.73,79,90,4.63,US,1620926618
Camacha,33.0833,-16.3333,20.32,64,40,6.17,PT,1620926618
Maceió,-9.6658,-35.7353,27.44,78,75,3.9,BR,1620926093
Kwang Binh,17.4833,106.6,26.82,89,22,1.59,VN,1620926618
Mubi,10.2676,13.2644,29.98,40,74,0.26,NG,1620926619
Kudahuvadhoo,2.6708,72.8944,28.86,74,97,6.58,MV,1620926619
Kapoeta,4.7717,33.5903,26.21,64,72,3.66,SS,1620926619
Betsiamites,48.9413,-68.646,16.05,70,98,3.4,CA,1620926620
Andahuaylas,-13.6556,-73.3872,16.45,54,61,2.57,PE,1620926620
Pacific Grove,36.6177,-121.9166,17.46,91,90,1.79,US,1620926358
Seoul,37.5683,126.9778,16.97,67,0,0.43,KR,1620926589
North Myrtle Beach,33.816,-78.68,22.36,50,1,0.45,US,1620926620
Waipawa,-41.4122,175.5153,3.85,79,4,1.4,NZ,1620926621
Moerai,-22.4333,-151.3333,25.57,79,100,3.74,PF,1620926621
Baoshan,46.5586,131.4244,10.41,54,67,3.58,CN,1620926621
Blagoyevo,63.3667,47.9167,20.1,52,21,2.39,RU,1620926622
Chui,-33.6971,-53.4616,18.96,37,60,4.61,UY,1620926622
Shaowu,27.3409,117.4831,23.24,93,100,1.09,CN,1620926408
Clearwater,27.9659,-82.8001,29.15,77,90,3.09,US,1620926433
Rognan,67.0953,15.3878,10.03,95,100,1.32,NO,1620926622
Saint-Joseph,-21.3667,55.6167,24.47,77,26,4.63,RE,1620926623
Sakakah,29.9697,40.2064,43.08,10,0,5.31,SA,1620926623
Oban,56.4127,-5.4706,14.1,69,65,1.23,GB,1620926623
Balkhash,46.844,74.9804,16.58,45,99,5.29,KZ,1620926624
Keller,32.9346,-97.2517,23.26,58,90,3.58,US,1620926530
De Aar,-30.6497,24.0123,18.92,27,0,3.05,ZA,1620926624
Shingū,33.7333,135.9833,17.15,87,82,1.79,JP,1620926624
Sokolo,14.7328,-6.1219,42.78,6,3,6.55,ML,1620926468
Pangoa,-12.1167,-73.0,26.58,64,59,1.62,PE,1620926625
Masallātah,32.6167,14.0,19.31,48,3,5.51,LY,1620926625
Otavi,-19.65,17.3333,18.15,29,0,4.05,NA,1620926625
Chabahar,25.2919,60.643,30.44,67,2,4.89,IR,1620926626
Panama City,8.9936,-79.5197,33.29,70,40,4.63,PA,1620926626
Mbamba,9.9833,13.1,28.56,52,71,1.72,NG,1620926626
Hihyā,30.6713,31.588,31.39,37,0,5.49,EG,1620926627
Hearst,49.6835,-83.6665,20.11,25,18,2.74,CA,1620926627
Mehamn,71.0357,27.8492,1.61,78,100,6.16,NO,1620926455
Qui Nhon,13.7667,109.2333,27.24,88,39,2.2,VN,1620926627
Atascadero,35.4894,-120.6707,20.94,57,6,1.67,US,1620926627
Manoharpur,27.3,75.95,34.25,30,2,4.65,IN,1620926628
Bairiki Village,1.3292,172.9752,27.8,76,96,4.79,KI,1620926628
Conde,-7.2597,-34.9075,24.69,87,90,3.15,BR,1620926521
‘Āhuimanu,21.4447,-157.8378,25.26,73,20,6.17,US,1620926629
Fort Saint James,54.4333,-124.25,14.97,42,65,1.14,CA,1620926629
Rock Sound,24.9,-76.2,26.45,78,19,4.07,BS,1620926629
Hervey Bay,-25.2986,152.8535,15.58,67,0,0.45,AU,1620926630
College,64.8569,-147.8028,12.97,52,40,0.0,US,1620926630
São Domingos,-13.3983,-46.3183,30.92,29,47,1.71,BR,1620926630
Sabang,5.8933,95.3214,29.13,72,100,1.24,ID,1620926419
Port-Gentil,-0.7193,8.7815,27.04,89,75,1.54,GA,1620926631
Grindavik,63.8424,-22.4338,5.31,63,75,2.51,IS,1620926631
Nome,64.5011,-165.4064,5.65,81,20,0.0,US,1620926583
El Alto,-4.2714,-81.2147,26.1,66,17,5.44,PE,1620926631
Baykit,61.67,96.37,7.84,71,100,2.02,RU,1620926632
Kharp,66.8014,65.8081,3.06,69,100,0.8,RU,1620926632
George Town,5.4112,100.3354,28.27,87,20,1.54,MY,1620926442
Santo Tomas,14.1079,121.1414,28.56,87,12,2.69,PH,1620926632
Grand-Santi,4.25,-54.3833,28.02,80,70,2.09,GF,1620926632
Xiazhen,34.8022,117.1117,19.35,82,100,5.33,CN,1620926633
Visby,57.6409,18.296,19.93,48,61,6.69,SE,1620926633
Altamont,42.2068,-121.7372,36.39,41,1,0.89,US,1620926603
Chegutu,-18.1302,30.1407,17.8,42,29,2.01,ZW,1620926634
Padang,-0.9492,100.3543,26.02,91,100,2.46,ID,1620926634
Vestmannaeyjar,63.4427,-20.2734,7.08,75,40,4.12,IS,1620926487
Labuhan,-6.8844,112.2051,26.15,79,100,3.46,ID,1620926634
Coyhaique,-45.5752,-72.0662,20.21,62,0,2.57,CL,1620926635
Ma’anshan,31.6957,118.4983,21.27,96,100,4.32,CN,1620926635
Saint-Pierre,-21.3393,55.4781,25.08,69,0,4.12,RE,1620926635
Lang Suan,9.9456,99.0785,27.26,84,60,1.3,TH,1620926635
Ol'ga,43.7444,135.2892,8.81,80,28,1.71,RU,1620926636
Santa Maria,-29.6842,-53.8069,19.92,39,0,2.07,BR,1620926636
Okha,53.5739,142.9478,-0.79,98,41,3.91,RU,1620926636
